"","week","author","commits","total","project_total"
"720",33,"jiho",0,0,67
"721",33,"joranE",0,0,67
"722",33,"BrianDiggs",0,0,67
"723",33,"JakeRuss",0,0,67
"724",33,"kohske",0,0,67
"725",33,"wch",0,0,67
"726",33,"hadley",67,22554,67
"727",34,"rasmusab",0,0,2
"728",34,"kloesing",0,0,2
"729",34,"briandk",0,0,2
"730",34,"dariobuttari",0,0,2
"731",34,"yihui",0,0,2
"732",34,"lehy",0,0,2
"733",34,"crowding",0,0,2
"734",34,"lianos",0,0,2
"735",34,"jrnold",0,0,2
"736",34,"davidmorrison",0,0,2
"737",34,"djmurphy420",0,0,2
"738",34,"wligtenberg",0,0,2
"739",34,"baptiste",0,0,2
"740",34,"jimhester",0,0,2
"741",34,"krlmlr",0,0,2
"742",34,"jiho",0,0,2
"743",34,"joranE",0,0,2
"744",34,"BrianDiggs",0,0,2
"745",34,"JakeRuss",0,0,2
"746",34,"kohske",0,0,2
"747",34,"wch",0,0,2
"748",34,"hadley",2,22556,2
"749",35,"rasmusab",0,0,961
"750",35,"kloesing",0,0,961
"751",35,"briandk",0,0,961
"752",35,"dariobuttari",0,0,961
"753",35,"yihui",0,0,961
"754",35,"lehy",0,0,961
"755",35,"crowding",0,0,961
"756",35,"lianos",0,0,961
"757",35,"jrnold",0,0,961
"758",35,"davidmorrison",0,0,961
"759",35,"djmurphy420",0,0,961
"760",35,"wligtenberg",0,0,961
"761",35,"baptiste",0,0,961
"762",35,"jimhester",0,0,961
"763",35,"krlmlr",0,0,961
"764",35,"jiho",0,0,961
"765",35,"joranE",0,0,961
"766",35,"BrianDiggs",0,0,961
"767",35,"JakeRuss",0,0,961
"768",35,"kohske",0,0,961
"769",35,"wch",0,0,961
"770",35,"hadley",961,23517,961
"771",36,"rasmusab",0,0,742
"772",36,"kloesing",0,0,742
"773",36,"briandk",0,0,742
"774",36,"dariobuttari",0,0,742
"775",36,"yihui",0,0,742
"776",36,"lehy",0,0,742
"777",36,"crowding",0,0,742
"778",36,"lianos",0,0,742
"779",36,"jrnold",0,0,742
"780",36,"davidmorrison",0,0,742
"781",36,"djmurphy420",0,0,742
"782",36,"wligtenberg",0,0,742
"783",36,"baptiste",0,0,742
"784",36,"jimhester",0,0,742
"785",36,"krlmlr",0,0,742
"786",36,"jiho",0,0,742
"787",36,"joranE",0,0,742
"788",36,"BrianDiggs",0,0,742
"789",36,"JakeRuss",0,0,742
"790",36,"kohske",0,0,742
"791",36,"wch",0,0,742
"792",36,"hadley",742,24259,742
"793",37,"rasmusab",0,0,0
"794",37,"kloesing",0,0,0
"795",37,"briandk",0,0,0
"796",37,"dariobuttari",0,0,0
"797",37,"yihui",0,0,0
"798",37,"lehy",0,0,0
"799",37,"crowding",0,0,0
